last_name,first_name,full_name,aka,dob,dod,films_appeared,films_directed,films_produced,films_camerawork
Watson,Deck,Deck Watson,,,,Boy What a Girl,,,
Watson,Julia,Julia Watson,,,,The Janitor,,,
Watson,Earl,Earl Watson,,,,The Troubles of Sambo and Dinah,,,
Watts,Ethel,Ethel Watts,,,,The Gunsaulus Mystery,,,
Webb,M.M.,M.M. Webb,Mrs. M.M. Webb,,,,,,
Weber,Rex,Rex Weber,,,,,Smile Film of Colored Troops' Folks,,Smile Film of Colored Troops' Folks
Wells,Miles M.,Miles M. Wells,,,,,,,
West,Charles,Charles West,,,,,,,
Whipper,Leigh,Leigh Whipper,"Lee Whipper, Lee Whipple",1/1/1877,1/1/75,The Symbol of the Unconquered,"A Regeneration of Souls,Renissance Newsreel","Come Back,A Regeneration of Souls,Renissance Newsreel,Reel Negro News",
White,Bob,Bob White,,,,The Wife Hunters,The Wife Hunters,,
White,Talford,Talford White,,,,The Flaming Crisis,,,
White,Frank,Frank White,,,,"The Law of Nature,A Man's Duty",,,
White,Devinfast,Devinfast White,,,,,,,
Whitely,Elsie,Elsie Whitely,,,,The Janitor,,,
Whitney,Salem Tutt,Salem Tutt Whitney,,11/15/1876,2/12/34,"The Witching Eyes,Birthright,A Daughter of the Congo",,,
Wild West Rodeo,, Wild West Rodeo,,,,Saddle Daze,,,
Wiley,Stella,Stella Wiley,,,,Lovie Joe's Romance,,,
Wilkes,Mattie V.,Mattie V. Wilkes,,,,"The Symbol of the Unconquered,The Gunsaulus Mystery,The Conjure Woman,For His Mother's Sake",,,
Wilkins,Lester,Lester Wilkins,,,,,,,
Williams,Spencer,Spencer Williams,,7/14/1893,1/1/69,"Tenderfeet,Harlem Rides The Range,Georgia Rose,Oft in the Silly Night",Tenderfeet,Tenderfeet,
Williams,Elizabeth,Elizabeth Williams,,,,The Burden of Race,,,
Williams,Ed,Ed Williams,,,,Spitfire,,,
Williams,Leon,Leon Williams,,,,Uncle Remus' First Visit to New York,,,
Williams,Ruth,Ruth Williams,,,,Thirty Years Later,,,
Williams,Willhelmina,Willhelmina Williams,,,,A Daughter of the Congo,,,
Williams,H. Marion,H. Marion Williams,,,,Eleven P.M.,,,
Williams,Maria P.,Maria P. Williams,"Maris Williams, Maria P. Williams, Mrs. Maris P. Williams",,,The Flames of Wrath,The Flames of Wrath,The Flames of Wrath,
Williams,Duke,Duke Williams,,,,Boy What a Girl,,,
Williams,Virgil,Virgil Williams,,,,"The Brute,In the Depths of Our Hearts",,,
Williams,Ethel,Ethel Williams,,,,The Gunsaulus Mystery,,,
Williams,Cy,Cy Williams,,,,Spider's Web,,,
Williams,Palestine Delores,Palestine Delores Williams,,,,Spider's Web,,,
Williams,Agusta,Agusta Williams,Augusta Williams,,,In the Depths of Our Hearts,,,
Williams,John C.,John C. Williams,,,,,,,
Williams,J.I.,J.I. Williams,,,,,,,
Williams,Theodore,Theodore Williams,,,,A Modern Cain,,,
Williams,Fred,Fred Williams,,,,A Modern Cain,,,
Wills,Harry,Harry Wills,,,,Harry Wills in Training,,,
Wilson,Speedy,Speedy Wilson,,,,A Daughter of the Congo,,,
Wilson,Ben,Ben Wilson,,,,,,,
Wilson,Irene,Irene Wilson,,,,Georgia Rose,,,
Wood,Trevy,Trevy Wood,Trevy Woods,,,The Homesteader,,,
Woodson,J. H.,J. H. Woodson,,,,The Secret Sorrow,,,
Yeargan,Arthur,Arthur Yeargan,,,,The Flaming Crisis,,,
Young,Mabel,Mabel Young,,,,"The Burden of Race,Spitfire,Deceit,The Gunsaulus Mystery",,,
Young,Artie,Artie Young,,,,Harlem Rides The Range,,,
Young,Z.V,Z.V Young,,,,A Modern Cain,,,
George,Frank P.,Frank P. George,,,,The Accidental Ruler,,,
Perrin,Sidney,Sidney Perrin,,,,The Accidental Ruler,,,
Riddley,Effie,Effie Riddley,,,,The Troubles of Sambo and Dinah,,,
Burke,M.M.,M.M. Burke,,,,,,,
Ray,T.J.,T.J. Ray,,,,,,,
Dix,Beulah Marie,Beulah Marie Dix,,,,Fighting Love,,,
Allmon,Charles,Charles Allmon,,,,,,,
Lucas,Sam,Sam Lucas,,,,,,,
Holman,Charles,Charles Holman,,,,,,,
Buchanan,Cleveland,Cleveland Buchanan,,,,,,Democracy Paid For,
Lybarger,Lee Francis,Lee Francis Lybarger,,,,,,,
Knight,Charles,Charles Knight,,,,Doing Their Bit,,,
Welcome,E. Toussaint,E. Toussaint Welcome,,1/1/1880,,,,,
Touissant Welcome,Jennie Louise,Jennie Louise Touissant Welcome,Madam Touissant Welcome,,,,,,
Hayward,William,William Hayward,Col. William Hayward,,,,,From Harlem to the Rhine,
Moore,Marion,Marion Moore,,,,Square Joe,,,
Edwards,J. Harrison,J. Harrison Edwards,,,,,Square Joe,,
Fouchee,Charles,Charles Fouchee,,,,Square Joe,,,
Moore,Mrs. Fred R.,Mrs. Fred R. Moore,,,,Square Joe,,,
Miller,Fred,Fred Miller,,,,Square Joe,,,
Fitzgerald,Bobby,Bobby Fitzgerald,,,,Square Joe,,,
Moore,Mrs. Eugene L.,Mrs. Eugene L. Moore,,,,Square Joe,,,
Washington,Frederica,Frederica Washington,,,,Square Joe,,,
Summer,Minnie,Minnie Summer,,,,Square Joe,,,
Valley,Annie,Annie Valley,,,,Steppin' High,,,
Trice,L.,L. Trice,,,,With the Help of Uncle Eben,,,
Owens,Eugene,Eugene Owens,,,,With the Help of Uncle Eben,,,
James,W.D.,W.D. James,,,,,,,
Gillstrom,Arvid,Arvid Gillstrom,,,,,Oft in the Silly Night,,
Randolph,Forbes,Forbes Randolph,,,,,,,
Millman,A.A.,A.A. Millman,,,,,,,
Bartlett,Al,Al Bartlett,,,,,,,
Anderson,Louis B.,Louis B. Anderson,,,,,,,
Watkins,William F.,William F. Watkins,,,,,,,
Blackburn,Robert F.,Robert F. Blackburn,,,,,,,
Velde,Dedie S.,Dedie S. Velde,,,,,,,
Velde,Marie,Marie Velde,,,,,,,
Fitzgerald,J.A.,J.A. Fitzgerald,,,,,,,
Lewis,Cary B.,Cary B. Lewis,,,,,,,
Dorsey,Lizzie Hart,Lizzie Hart Dorsey,,,,The Butler,,,
Langston,Tony,Tony Langston,,,,,,,
Williams,J. Clifford,J. Clifford Williams,Lt. J. Clifford Williams,,,,,,
Scott,Walter S.,Walter S. Scott,,,,,,,
Rosen,A.,A. Rosen,,,,,,,
Lynwood,Ernest D.,Ernest D. Lynwood,,,,,,,
Snyder,E.L.,E.L. Snyder,,,,,,,
Baccus,V.,V. Baccus,,,,,From Cotton Patch to Congress,,
Grimes,William H.,William H. Grimes,,,,,Outside Prison Walls,,
Dawson,Charles P.,Charles P. Dawson,,,,,,,
Graham,Birdie,Birdie Graham,,,,,,,
Filtenberg,Essie,Essie Filtenberg,,,,My First Love,,,
Vodery,C. F.,C. F. Vodery,,,,,,,The Fighting Fifteenth Colored Regiment
Allen,Charles H.,Charles H. Allen,,,,The Lure of a Woman,,,
Cohee,Regina,Regina Cohee,,,,The Lure of a Woman,,,
Cross,H.E.,H.E. Cross,,,,,,,
Hubbard,M.W.,M.W. Hubbard,,,,,,,
Bald,Frank,Frank Bald,,,,,,,
